(21, ((('cue', (0.7486266811367291, 1.5102961288564754)), ('yellow', (0.5741505567111784, 1.1418579335605146)), ('red', (0.3478443110019678, 1.1780493034263375)), ('blue', (0.28688181085401576, 0.16722144228968755))), 'pot blue ball into top_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(22, ((('cue', (0.0930889454788312, 1.7264684740748324)), ('yellow', (0.9689137466622799, 0.37996774204861195)), ('red', (0.22767044081666102, 0.4516640691138668)), ('blue', (0.30692218348994404, 1.2110633853588082))), 'pot red ball into bottom_left pocket directly')), Success Rate: 87 / 100 = 0.87
(23, ((('cue', (0.5245241862689374, 1.6070549757331811)), ('yellow', (0.9305137639256044, 0.8231976535686041)), ('blue', (0.3271277217852592, 0.6401404296233837)), ('red', (0.9021590491704534, 1.7066463655322512))), 'pot red ball into top_left pocket indirectly')), Success Rate: 53 / 100 = 0.53
(24, ((('cue', (0.20006514054197228, 0.9100736727408364)), ('red', (0.9134906570399228, 1.1169674314872784)), ('yellow', (0.7226057788613309, 1.0346693458529783)), ('blue', (0.8933150476463128, 1.7779474133672413))), 'pot blue ball into bottom_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(25, ((('cue', (0.6246878909020753, 1.7050899011364873)), ('yellow', (0.10586298585711301, 0.27676843156301945)), ('blue', (0.5628419575905393, 0.09872714725923964)), ('red', (0.29372492688427165, 1.634165949025866))), 'pot yellow ball into middle_left pocket indirectly')), Success Rate: 0 / 100 = 0.0
(26, ((('cue', (0.0747806756816846, 0.8196930167275168)), ('yellow', (0.6299082495762558, 0.14583873965574537)), ('red', (0.0434479560094174, 1.9317918145082913)), ('blue', (0.2541471377027654, 1.8683323759584476))), 'pot red ball into top_right pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(27, ((('cue', (0.2797602611594966, 0.6377778314021043)), ('yellow', (0.619988797136564, 1.5464716976961013)), ('blue', (0.24625088015360788, 0.42142717034362764)), ('red', (0.09533020761078376, 0.4536029983264097))), 'pot blue ball into bottom_left pocket indirectly')), Success Rate: 66 / 100 = 0.66
(28, ((('cue', (0.9489100000348244, 0.17989818169493185)), ('blue', (0.2955423313107107, 1.8792243749878315)), ('red', (0.833326124761182, 1.2268960560631406)), ('yellow', (0.5238977411057341, 1.4354250496426215))), 'pot blue ball into middle_right pocket indirectly')), Success Rate: 0 / 100 = 0.0
(29, ((('cue', (0.3856865895554239, 0.829286482586983)), ('blue', (0.856440827308821, 1.8804695320000548)), ('yellow', (0.7488745040270341, 1.9263400578517713)), ('red', (0.9153553486354977, 1.7940812466902585))), 'pot red ball into middle_left pocket with a bank shot')), Success Rate: 0 / 100 = 0.0
(30, ((('cue', (0.6323494063288626, 0.6609081147697291)), ('blue', (0.7127672532742547, 1.6668763701224008)), ('red', (0.5745516144635944, 0.907541427002177)), ('yellow', (0.3318882801230155, 0.22546800418374655))), 'pot blue ball into top_left pocket with a bank shot')), Success Rate: 37 / 100 = 0.37
(31, ((('cue', (0.6368859844048455, 0.3796376672588728)), ('blue', (0.8199921702562656, 1.2075301688220998)), ('red', (0.4804859336249504, 0.5689735240671709)), ('yellow', (0.45372359310071897, 0.8678918776466813))), 'pot yellow ball into middle_left pocket directly')), Success Rate: 56 / 100 = 0.56
(32, ((('cue', (0.9106273332408815, 1.8599615051163139)), ('blue', (0.8953933426195773, 1.2729939677884659)), ('red', (0.6899336939608771, 1.2468237920254244)), ('yellow', (0.5169616417307848, 1.1294192436366026))), 'pot red ball into bottom_right pocket directly')), Success Rate: 33 / 100 = 0.33
(33, ((('cue', (0.46071180604307915, 0.17884163262405886)), ('red', (0.5426515256240871, 1.51105732742205)), ('blue', (0.8061340662642447, 1.1272382632867235)), ('yellow', (0.3575017997658392, 1.656403571614153))), 'pot blue ball into bottom_left pocket with a bank shot')), Success Rate: 4 / 100 = 0.04
(34, ((('cue', (0.23465707254648546, 0.2976989139422328)), ('yellow', (0.6047434079508017, 0.88723184935166)), ('red', (0.7874797675412857, 1.106271929189843)), ('blue', (0.9473542087459584, 1.854056301828352))), 'pot red ball into bottom_right pocket indirectly')), Success Rate: 1 / 100 = 0.01
